nombre_artista,album,fecha,tipo,track
Jimi Hendrix,Both Sides of the Sky,2018-03-09,track,Sweet Angel
The Desperados,Won't Be Broken,2018-08-07,track,Let's Have Some Fun Alt
Beartooth,Disease,2018-09-28,track,Disease
The Backseat Lovers,Out of Tune,2018-05-11,track,Out of Tune
Peach Pit,Being So Normal,2018-06-28,track,Being so Normal
Car Seat Headrest,Twin Fantasy,2018-02-16,track,Nervous Young Inhumans
Briston Maroney,Carnival,2018-11-16,track,Freakin' Out On the Interstate
The Marcus King Band,Carolina Confessions,2018-10-05,track,Where I'm Headed
The Voidz,Virtue,2018-03-30,track,Pink Ocean
Ty Segall,Freedom's Goblin,2018-01-26,track,Every 1's a Winner
Muse,Simulation Theory (Super Deluxe),2018-11-09,track,Break It to Me
Sea of Lettuce,Photos,2018-09-23,track,Leave You Alone
Godsmack,When Legends Rise,2018-04-27,track,Unforgettable
The Temperance Movement,A Deeper Cut,2018-02-16,track,Love and Devotion
Self Deception,Self Deception,2018-02-26,track,Weight Of The World
DAY6,Shoot Me : Youth Part 1,2018-06-26,track,Somehow
Kolm,Umbra,2018-08-24,track,Entheotheosis
Normandie,White Flag,2018-10-26,track,White Flag
From Ashes to New,The Future,2018-04-20,track,My Name
Peach Pit,Being So Normal,2018-06-28,track,Techno Show
Eric Steckel,Polyphonic Prayer,2018-01-30,track,Unforgettable
Breaking Benjamin,Ember,2018-04-13,track,Feed the Wolf
Ciro y los Persas,Naranja Persa 2,2018-04-14,track,Dice
Black Label Society,Hangover Music Vol. VI,2018-09-21,track,House of Doom
Los Pakines,El Sonido Elegante,2018-03-01,track,A Donde Irás
Parquet Courts,Wide Awake!,2018-05-18,track,Total Football
Veronica Bolaños,Vulnerable,2018-05-04,track,Sin Ti Nada Es Fácil
The Brian Jonestown Massacre,Something Else,2018-05-25,track,Who dreams of cats?
Muse,Simulation Theory (Super Deluxe),2018-11-09,track,The Void
Breaking Benjamin,Ember,2018-04-13,track,Tourniquet
ROTTENGRAFFTY,PLAY,2018-02-28,track,「70cm四方の窓辺」
TRAITRS,Butcher's Coin,2018-05-18,track,The Suffering of Spiders
Pop Evil,Pop Evil,2018-02-16,track,Waking Lions
Los Fabulosos Cadillacs,Pop 90's En Español,2018-07-13,track,Matador - Remasterizado 2008
Mancha De Rolando,Bala de Plata,2018-09-13,track,Toda la Vida - Acústico
Pond,The Weather,2018-10-01,track,Sweep Me Off My Feet
Grupo Guinda,"Cerveza, Ron y Guinda",2018-06-19,track,"Cerveza, Ron y Guinda"
The Bones of J.R. Jones,Ones to Keep Close,2018-05-11,track,The Drop
Palaye Royale,Boom Boom Room (Side B),2018-09-28,track,You'll Be Fine
Lebanon Hanover,Let Them Be Alien,2018-04-02,track,Alien
Jimi Hendrix,Both Sides of the Sky,2018-03-09,track,Lover Man
Khruangbin,Con Todo El Mundo,2018-01-26,track,Shades of Man
Muse,Simulation Theory (Super Deluxe),2018-11-09,track,Get up and Fight
The O'Reillys and the Paddyhats,Green Blood,2018-09-28,track,Yesterday's Rebel
Bragolin,I Saw Nothing Good so I Left,2018-03-26,track,To Hide to Shine to Cross
I DONT KNOW HOW BUT THEY FOUND ME,1981 Extended Play,2018-11-09,track,Social Climb
Grupo Guinda,Pensando en Ella,2018-06-12,track,Pedazo de Luna
I DONT KNOW HOW BUT THEY FOUND ME,Bleed Magic,2018-10-26,track,Bleed Magic
Indio Solari,"El Ruiseñor, el Amor y la Muerte",2018-07-27,track,El Callejón de los Milagros
American Football,American Football (LP3),2019-03-22,track,Uncomfortably Numb (feat. Hayley Williams)
The Jins,She Said,2019-02-22,track,She Said
Lil Peep,Falling Down (Travis Barker Remix),2019-07-11,track,Falling Down - Travis Barker Remix
Audioslave,"Live 8 (Live, July 2005)",2019-05-28,track,"Black Hole Sun / Like a Stone - Live at Live 8, Siegessäule, Berlin, 2nd July 2005"
Rio,Sres. Papis,2019-12-11,track,Tu Eres Mi Princesa
The Devil Wears Prada,The Act,2019-10-11,track,Chemical
The Reytons,Retro Emporium,2019-12-20,track,Retro Emporium
Bad Wolves,N.A.T.I.O.N.,2019-10-25,track,Better Off This Way
Divididos,Mundo Ganado,2019-06-28,track,Mundo Ganado
Rival Sons,Feral Roots,2019-01-25,track,Feral Roots
Nevertel,No Reverse,2019-10-31,track,No Reverse
The Black Keys,"""Let's Rock""",2019-06-28,track,Get Yourself Together
DIIV,Deceiver,2019-10-04,track,Taker
Volbeat,"Rewind, Replay, Rebound (Deluxe)",2019-08-02,track,When We Were Kids
The Lunar Effect,Calm Before the Calm,2019-01-25,track,Woman
Pearl Jam,"Love, Reign O'er Me",2019-12-09,track,"Love, Reign O'er Me"
Richy Mitch & The Coal Miners,Subliming,2019-06-20,track,"BC, Victoria"
Royal Republic,Club Majesty,2019-05-31,track,Boomerang
Liquits,Himnos del rock en español,2019-06-07,track,Desde Que
LADYBABY,Haten ni raimei,2019-05-27,track,Haten ni raimei
BABYMETAL,Metal Galaxy,2019-10-11,track,Distortion
The Night Flight Orchestra,Satellite,2019-06-14,track,Satellite
blink-182,NINE,2019-09-20,track,Pin the Grenade
Volbeat,"Rewind, Replay, Rebound (Deluxe)",2019-08-02,track,Die To Live
STARSET,DIVISIONS,2019-09-13,track,MANIFEST
Sleep Token,Sundowning,2019-11-21,track,Say That You Will
The National,I Am Easy to Find,2019-05-17,track,Quiet Light
YUNGBLUD,the underrated youth,2019-10-18,track,braindead!
Kanadia,Kanadia,2019-03-02,track,Poison
The Score,Stay,2019-08-09,track,Stay
The Rose,Strangers from hell Pt.1 (Original Television Soundtrack),2019-08-31,track,Strangers
Vico y su Grupo Karicia,Shhh… Silencio Con Uds. El Rey,2019-09-13,track,Soledad
Iggy Pop,Free,2019-09-06,track,Loves Missing
The National,I Am Easy to Find,2019-05-17,track,I Am Easy To Find
TOOL,Fear Inoculum,2019-08-30,track,Legion Inoculant
Elles Bailey,When I Go Away (MWS Sessions),2019-11-08,track,When I Go Away (MWS Sessions)
Nice Guys,Nice Guys Love You (Vol. 1),2019-06-28,track,Makes You Fly
Ash,’94 - ’04: The Singles,2019-05-31,track,A Life Less Ordinary - 2011 Remaster
Yogi Lang,A Way out of Here,2019-11-08,track,Love Is All Around
The Cold Stares,WAYS,2019-10-18,track,Any Way the Wind Blows
Snowy White,The Situation,2019-04-19,track,This Feeling
Skillet,Victorious,2019-08-02,track,You Ain't Ready
Beth Hart,War In My Mind,2019-09-27,track,War In My Mind
Airbourne,Boneshaker,2019-10-25,track,Backseat Boogie
Papa Roach,Who Do You Trust? (Deluxe Version),2019-01-18,track,The Ending
Twin Tribes,Ceremony,2019-12-13,track,Perdidos
Nick Waterhouse,Nick Waterhouse,2019-03-08,track,Song for Winners
Serú Girán,La Grasa de las Capitales: Edición 40º Aniversario (2019 Remasterizado),2019-12-20,track,Perro Andaluz - 2019 Remasterizado
Edson Morales,Edson Morales,2019-06-28,track,Te amo
Sheryl Crow,Threads,2019-08-30,track,Tell Me When It’s Over
gulu gulu,Gulu Gulu Ryuushutsu Ongen Shuu (Living Dead Edition),2020-05-05,track,Oyasumi.
Pink Floyd,Have A Cigar (Alternate Version),2020-05-29,track,Have A Cigar - Alternate Version
Deftones,Ohms,2020-09-25,track,Headless
Centeno,Solo Para Gente Pulenta,2020-06-09,track,La Noche de Setiembre
